filt_time,filt_cycle_number,filt_marker,filt_delc_var_det1_HbO2,filt_delc_var_det1_HHb,filt_delc_var_det1_ox-redCCO,filt_delc_var_det1_HbT,filt_delc_INvar_det1_HbO2,filt_delc_INvar_det1_HHb,filt_delc_INvar_det1_ox-redCCO,filt_delc_INvar_det1_HbT,filt_delc_var_det2_HbO2,filt_delc_var_det2_HHb,filt_delc_var_det2_ox-redCCO,filt_delc_var_det2_HbT,filt_delc_INvar_det2_HbO2,filt_delc_INvar_det2_HHb,filt_delc_INvar_det2_ox-redCCO,filt_delc_INvar_det2_HbT,filt_delc_INvar_det3_HbO2,filt_delc_INvar_det3_HHb,filt_delc_INvar_det3_ox-redCCO,filt_delc_INvar_det3_HbT,filt_delc_INvar_det4_HbO2,filt_delc_INvar_det4_HHb,filt_delc_INvar_det4_ox-redCCO,filt_delc_INvar_det4_HbT,filt_SRS kHbO2,filt_SRS kHHb,filt_SRS kHbT,filt_SRS TOI,filt_BP,filt_HR,filt_LD_Flux,filt_LD_Concentration,filt_grid,filt_aligned time,filt_DPF 690,filt_DPF 750,filt_DPF 790,filt_DPF 850,filt_Us 690,filt_Us 750,filt_Us 790,filt_Us 850,filt_delc_var_det1_Hbdiff,filt_delc_INvar_det1_Hbdiff,filt_delc_var_det2_Hbdiff,filt_delc_INvar_det2_Hbdiff,filt_delc_INvar_det3_Hbdiff,filt_delc_INvar_det4_Hbdiff
0.000703308,121.0002256,3.48559E-08,2.10623E-05,-1.79612E-05,1.95218E-05,3.10112E-06,2.17863E-05,-1.83177E-05,1.96953E-05,3.46855E-06,2.61199E-06,-1.54903E-05,6.27124E-06,-1.28783E-05,3.21779E-06,-1.59047E-05,6.52012E-06,-1.26869E-05,0.000168711,4.21383E-05,-9.25433E-05,0.00021085,4.70075E-05,8.59354E-05,-6.0172E-05,0.000132943,0.001655744,-0.000570255,0.001085489,0.666034267,0.672009133,0.729991712,1.526639601,4.084063009,,-22.706,16.4636398,10.74023777,7.81015875,8.45891417,28.38824097,12.66558016,8.155512677,8.669580035,-0.559709683,-0.55233015,-0.699515435,-0.689699803,-0.772931708,-0.724431064
3.001907946,121.9673084,6.26194E-08,-0.142346689,0.024705215,-0.124551618,-0.117641474,-0.141655607,0.02480153,-0.124637086,-0.116854077,-0.200679277,-0.014538826,-0.019438287,-0.215218102,-0.199893119,-0.014484461,-0.019617258,-0.21437758,-0.355405594,-0.078314215,0.079263179,-0.433719809,-0.370734811,-0.083666034,0.080417644,-0.454400844,-5.230979048,-0.839776943,-6.070755991,0.663757276,0.6478167,0.677341798,1.429610788,3.887501227,,-19.706,16.36298753,10.75941131,7.836314727,8.444260826,28.35854635,12.69109224,8.17377216,8.636470423,-0.72680061,-0.718827391,-0.885673988,-0.875127584,-1.050149659,-1.011460913
5.999811367,122.9339058,-5.45723E-08,-0.14887084,0.030269836,-0.143333303,-0.118601004,-0.148548771,0.030249479,-0.143100063,-0.118299292,-0.214718642,-0.030242064,-0.023847203,-0.244960706,-0.21409974,-0.030109962,-0.023836992,-0.244209702,-0.462436894,-0.116862,0.12759577,-0.579298895,-0.45374074,-0.089387412,0.096084509,-0.543128152,-5.524528245,-1.062889404,-6.587417649,0.663864643,0.660460645,0.661652893,1.487820529,3.791832581,,-16.706,16.18229423,10.81684394,7.790516642,8.492331051,28.06950515,12.76292907,8.126006967,8.677912198,-0.738889383,-0.731168504,-0.884010115,-0.873708704,-1.118633174,-1.088745464
8.998973401,123.901028,-1.28377E-07,0.005991685,0.019625544,-0.067428627,0.025617228,0.005309119,0.019444023,-0.066789944,0.024753141,-0.028965446,-0.028398125,-0.021315298,-0.057363571,-0.029213751,-0.028153662,-0.020900335,-0.057367413,-0.272801881,-0.094484944,0.122903564,-0.367286825,-0.255285387,-0.036035975,0.075372762,-0.291321362,-1.172898208,-0.688196099,-1.861094307,0.666178827,0.703742892,0.702820134,1.61929396,3.85854089,,-13.706,15.86182391,10.87874508,7.704260821,8.564087014,27.41322366,12.84037331,8.036987214,8.751197925,-0.573382565,-0.566505158,-0.700100858,-0.690779015,-0.951375218,-0.943641548
12.00000117,124.8682245,7.9933E-08,0.169106783,0.0078754,0.004517894,0.176982182,0.168231433,0.007708109,0.005194094,0.175939542,0.154345301,-0.004056548,-0.024022383,0.150288753,0.153881993,-0.003767696,-0.023460553,0.150114297,-0.00520677,-0.038579167,0.072049205,-0.043785937,-0.083294801,-0.016888214,0.093570425,-0.100183015,2.802417644,-0.209182991,2.593234653,0.668109686,0.746125999,0.764428413,1.654209855,4.06476527,,-10.706,15.56639897,10.90967225,7.683287225,8.587918883,26.78125353,12.87117827,8.006037247,8.774421967,-0.398517323,-0.39184693,-0.541131688,-0.532069238,-0.739685884,-0.790798723
15.00054275,125.8350734,2.57389E-07,0.139649649,-0.003425836,0.01292595,0.136223814,0.139915057,-0.003589491,0.013512895,0.136325566,0.120524846,0.007112292,-0.02531829,0.127637138,0.121197673,0.007156747,-0.024950482,0.128354421,0.048807023,-0.016746176,0.019317226,0.032060847,-0.2017933,-0.084685351,0.158329182,-0.286478651,2.532305281,0.013946663,2.546251944,0.667661669,0.776333942,0.774066999,1.613232442,4.284875423,,-7.706,15.51022505,10.90129312,7.773225147,8.56481297,26.62970826,12.84040152,8.086280709,8.754717305,-0.416673221,-0.408865706,-0.586120983,-0.575678,-0.707505081,-0.841500085
18.00005147,126.8020785,-1.04486E-07,-0.0549269,-0.027827408,-0.003373959,-0.082754308,-0.053474202,-0.028235696,-0.00256713,-0.081709898,-0.073271522,-0.026807923,-0.013326107,-0.100079445,-0.071339808,-0.027298796,-0.013066863,-0.098638604,-0.13771633,-0.065115911,0.013296747,-0.202832241,-0.479735795,-0.182605175,0.198733533,-0.662340969,-0.060349852,-0.017133022,-0.077482875,0.666068779,0.806309257,0.721207743,1.657260121,4.377983348,,-4.706,15.50400364,10.82195204,7.8875604,8.543640511,26.59843848,12.73336888,8.20286056,8.760815853,-0.586848199,-0.57760876,-0.745997136,-0.733759937,-0.845658699,-1.021522756
20.99971806,127.7693974,-5.0592E-07,-0.135747443,-0.067841222,0.021432027,-0.203588665,-0.134664805,-0.068413586,0.022424769,-0.203078391,-0.139758254,-0.081616004,0.010193654,-0.221374258,-0.138160133,-0.08244335,0.010592291,-0.220603483,-0.273231251,-0.137083044,0.056960827,-0.410314295,-0.52753947,-0.207665937,0.170346169,-0.735205406,0.159861569,-0.187780686,-0.027919117,0.666431738,0.835947373,0.683247185,1.80427628,4.329056322,,-1.706,15.16631387,10.67783189,7.902751264,8.539774257,25.94524279,12.58420532,8.234891576,8.808821172,-0.627654927,-0.618621473,-0.757675788,-0.745435709,-0.909206487,-1.044265669
23.99994573,128.7364465,1.05808E-07,0.057064779,-0.098734609,0.080921674,-0.04166983,0.056342873,-0.098877316,0.081416014,-0.042534443,0.039614848,-0.104108623,0.03585042,-0.064493775,0.039589065,-0.104558581,0.036178001,-0.064969516,-0.149515422,-0.157472182,0.108521231,-0.306987604,-0.241698804,-0.13900131,0.122525076,-0.380700114,4.39707018,-0.434781471,3.962288708,0.669415534,0.845114378,0.709550211,1.881624721,4.247190646,,1.294,14.61479258,10.56963259,7.812115195,8.515488453,24.87837617,12.49858132,8.170764314,8.830661278,-0.403949318,-0.397150065,-0.555810066,-0.54557128,-0.765101521,-0.82708963
27.00014382,129.7031137,9.7635E-07,0.304975408,-0.08994431,0.10237901,0.215031098,0.302894972,-0.089277212,0.101995581,0.21361776,0.225459422,-0.077381699,0.052594859,0.148077723,0.224688641,-0.076966107,0.052369479,0.147722534,0.035200836,-0.118017545,0.136288928,-0.082816708,0.002003298,-0.069344621,0.132322715,-0.067341323,7.781897224,-0.61158646,7.170310764,0.671766704,0.826820576,0.741236696,1.786335414,4.20680747,,4.294,14.4211422,10.5502968,7.73336132,8.431703175,24.49761034,12.50169326,8.119203965,8.758591274,-0.164828989,-0.16019807,-0.396692415,-0.388064177,-0.6198399,-0.653044217
